id,time,temperature_2m,relative_humidity_2m,wind_speed_10m,data_type,relative_humidity_6m,temperature_4m,wind_speed_15m,temperature_5m,relative_humidity_4m,wind_speed_12m,temperature_7m
243,2025-10-24 08:17:35.886067,12.0,69.0,17.0,hourly,0,0,0,0,0,0,0
244,2025-10-24 08:17:35.886067,11.5,69.0,16.6,hourly,0,0,0,0,0,0,0
245,2025-10-24 08:17:35.886067,10.9,70.0,15.3,hourly,0,0,0,0,0,0,0
246,2025-10-24 08:17:35.886067,10.4,69.0,16.3,hourly,0,0,0,0,0,0,0
247,2025-10-24 08:17:35.886067,9.9,70.0,16.8,hourly,0,0,0,0,0,0,0
248,2025-10-24 08:17:35.886067,9.8,72.0,18.2,hourly,0,0,0,0,0,0,0
249,2025-10-24 08:17:35.886067,9.7,77.0,18.1,hourly,0,0,0,0,0,0,0
250,2025-10-24 08:17:35.886067,9.8,77.0,18.4,hourly,0,0,0,0,0,0,0
251,2025-10-24 08:17:35.886067,10.9,67.0,21.6,hourly,0,0,0,0,0,0,0
252,2025-10-24 08:17:35.886067,11.7,57.0,19.7,hourly,0,0,0,0,0,0,0
253,2025-10-24 08:17:35.886067,12.3,52.0,18.7,hourly,0,0,0,0,0,0,0
254,2025-10-24 08:17:35.886067,12.5,48.0,20.5,hourly,0,0,0,0,0,0,0
255,2025-10-24 08:17:35.886067,12.2,48.0,20.0,hourly,0,0,0,0,0,0,0
256,2025-10-24 08:17:35.886067,12.2,47.0,18.9,hourly,0,0,0,0,0,0,0
257,2025-10-24 08:17:35.886067,11.6,48.0,18.8,hourly,0,0,0,0,0,0,0
258,2025-10-24 08:17:35.886067,11.1,46.0,17.0,hourly,0,0,0,0,0,0,0
259,2025-10-24 08:17:35.886067,10.4,47.0,15.3,hourly,0,0,0,0,0,0,0
260,2025-10-24 08:17:35.886067,9.6,49.0,13.8,hourly,0,0,0,0,0,0,0
261,2025-10-24 08:17:35.886067,8.9,57.0,15.6,hourly,0,0,0,0,0,0,0
262,2025-10-24 08:17:35.886067,8.8,63.0,16.8,hourly,0,0,0,0,0,0,0
263,2025-10-24 08:17:35.886067,8.4,66.0,16.1,hourly,0,0,0,0,0,0,0
264,2025-10-24 08:17:35.886067,7.9,69.0,15.4,hourly,0,0,0,0,0,0,0
265,2025-10-24 08:17:35.886067,7.6,72.0,14.9,hourly,0,0,0,0,0,0,0
266,2025-10-24 08:17:35.886067,7.4,73.0,14.8,hourly,0,0,0,0,0,0,0
267,2025-10-24 08:17:35.886067,7.2,74.0,14.0,hourly,0,0,0,0,0,0,0
268,2025-10-24 08:17:35.886067,7.0,75.0,14.7,hourly,0,0,0,0,0,0,0
269,2025-10-24 08:17:35.886067,6.5,77.0,14.0,hourly,0,0,0,0,0,0,0
270,2025-10-24 08:17:35.886067,6.3,78.0,14.2,hourly,0,0,0,0,0,0,0
271,2025-10-24 08:17:35.886067,6.3,78.0,13.9,hourly,0,0,0,0,0,0,0
272,2025-10-24 08:17:35.886067,6.5,77.0,14.4,hourly,0,0,0,0,0,0,0
273,2025-10-24 08:17:35.886067,7.5,73.0,15.5,hourly,0,0,0,0,0,0,0
274,2025-10-24 08:17:35.886067,8.9,69.0,16.3,hourly,0,0,0,0,0,0,0
275,2025-10-24 08:17:35.886067,10.6,64.0,14.7,hourly,0,0,0,0,0,0,0
276,2025-10-24 08:17:35.886067,10.8,68.0,13.7,hourly,0,0,0,0,0,0,0
277,2025-10-24 08:17:35.886067,10.3,74.0,12.9,hourly,0,0,0,0,0,0,0
278,2025-10-24 08:17:35.886067,10.5,72.0,12.3,hourly,0,0,0,0,0,0,0
279,2025-10-24 08:17:35.886067,11.0,70.0,13.3,hourly,0,0,0,0,0,0,0
